project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,tenant_name,design_name,design_address,design_phone,project_url
GOLF SIMULATOR,TABS2025020562,PACE GOLF LOUNGE,"2001 TX HWY 114 #STE. 200, Trophy Club, TX 75601",Denton,9/1/2025,3/1/2026,"$300,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",IMPROVEMENTS TO EXISTING,"2,687 ft 2",4663 Okeechobee Boulevard,"3309 FAIRMONT DR, NASHVILLE, Tennessee 37203",615-385-5433,,VIZUAL ARCHITECTURE,"400 N. Saint Paul St. Suite 1120, DALLAS, Texas 75201",(214) 282-6732,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020562
Mayday Manufacturing Addition,TABS2025020555,Mayday Manufacturing,"3100 Jim Christal Rd, Denton, TX 78216",Denton,7/1/2025,7/1/2026,"$8,000,000",New Construction,"This project is privately funded, on private land for private use.","The  PROJECT CONSISTS OF A 44,259 SQ.FT. ADDITION TO AN  EXISTING FACTORY INDUSTRIAL WAREHOUSE(F-2)/OFFICE BUILDING. ","44,259 ft 2",Mayday Manufacturing - Doug Wolf,"3100 Jim Christal Rd, Denton, Texas 76207",(940) 898-8301,,XA Collective,"204 E Rhapsody Dr., San Antonio, Texas 78216",(512) 773-3070,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020555
Stoneridge Hospitality Office,TABS2025020513,Stoneridge Hospitality,"3813 Lake Sharon Dr., Corinth, TX 76208",Denton,7/1/2025,1/30/2026,"$900,000",New Construction,"This project is privately funded, on private land for private use.",New construction of one story office building with mezzanine,"5,469 ft 2",HGK Development LLC,"2002 S. Stemmons Fwy suite 700, Lake Dallas, Texas 75065",(214) 718-7671,,Alias Architects LLC,"903 18th street, suite 229 suite 229, Plano, Texas 75074",(214) 500-1273,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020513
Office Building Remodel,TABS2025020511,Office Building,"410 E. Church St., Lewisville, TX 75057",Denton,7/1/2025,12/1/2025,"$200,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior rebuild of existing mezzanine to be used as an office and exterior material remodel,"8,400 ft 2",Wayne Managment LLC,"PO Box 6 Lewisville TX, Lewisville, Texas 75056",(972) 533-3087,,Alias Architects LLC,"903 18th street, suite 229, Plano, Texas 75074",(214) 500-1273,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020511
AF Ventures Office Build Out,TABS2025020483,Suite 190,"2126 Hamilton Rd., Argyle, TX 76226",Denton,6/13/2025,7/18/2025,"$130,000",Additions to Existing Building,"This project is privately funded, on private land for private use.",Tenet Build Out for office spaces,"3,000 ft 2",AF Ventures,"2126 Hamilton Rd. STe 190, argyle, Texas 76226",(214) 250-1816,,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020483
QuikTrip #1884,TABS2025020472,QuikTrip #1884,"NWC Hwy 114 & Harriet Creek Dr., Fort Worth, TX 76247",Denton,10/13/2025,4/21/2026,"$750,000",New Construction,"This project is privately funded, on private land for private use.",The new construction of a convenience store with retail gasoline sales.,"4,996 ft 2",QuikTrip Corporation,"8700 Freeport Parkway, Ste. 115, Irving, Texas 75063",(945) 455-6411,,"Daniel D. Filuk, Architect","1747 E. Morten Ave., Suite 111, Phoenix, Arizona 85020",(602) 234-1868,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020472
Incora VCL,TABS2025020470,Northport Business Center - Bldg A,"4250 Dale Earnhartdt Way, Northlake, TX 76262",Denton,6/16/2025,8/1/2025,"$400,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Reinforced foundation for specialized equipment ,"1,000 ft 2","Northport 35 Investors, LLC c/o Stream Realty Partners","2001 Ross Avenue, Suite 400, Dallas, Texas 75201",214.267.0477,Incora,RGA Architects,"301 S Oak Street, Ste 100, Roanoke, Texas 76262",(817) 430-3382,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020470
CityVet - Providence Village,TABS2025020466,Providence Village Retail Shops,"US-380 & Main Street, Providence Village, TX 76227",Denton,8/26/2025,12/2/2025,"$500,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",This project consists of the interior build-out of a new animal clinic for small animals (cats & dogs) within an existing one-story shell building. No work to the exterior will occur.,"3,399 ft 2","800 Main Street Providence Village Owner, LLC","9010 Overlook Blvd., Brentwood, Tennessee 37027",(615) 921-0044,Jay Alexander,Peacock Partnership,"5500 Interstate North Parkway Suite 500, Atlanta, Georgia 30328",(470) 867-1509,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020466
Pilot Point Dairy Queen Remodel,TABS2025020440,Dairy Queen,"1238 S. HWY 377, Pilot Point, TX 76258",Denton,7/1/2025,11/1/2025,"$200,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Remodeling existing bathrooms, upgrading finishes, and demoing existing sunroom and creating outdoor seating","2,640 ft 2",Richeson Management,"1310 Highway 16 South, Graham, Texas 76450",(940) 549-5041,,CDV Consulting PLLC,"13748 Neutron Rd Suite 140, Dallas, Texas 75244",(469) 279-9749,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020440
Sanger High School Turf Practice Field,TABS2025020435,Sanger High School Turf Practice Field,"3001 FM 455 E, Sanger, TX 76266",Denton,8/1/2025,12/1/2025,"$2,000,000",Additions to Existing Building,"This project involves public funds, public land, or is a Federally funded roadway project.","Outdoor track and field events, turf football field, gravel maintenance drive","180,000 ft 2",Sanger ISD,"601 Elm St, Sanger, Texas 76266",(940) 458-7438,,VLK Architects,"1320 Hemphill St, Suite 400, Fort Worth, Texas 76104",(817) 633-1600,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020435
Bread Zeppelin 1009 - Park West,TABS2025020433,Park West,"4331 Main St. Suite 120, Frisco, TX 75034",Denton,6/1/2025,9/1/2025,"$300,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Interior finish out of shell space for an existing restaurant franchise. 1,450 SF Nett.","1,450 ft 2","LBIG Park West Land, LLC","14001 Dallas Pkwy #1215, Dallas, Texas 75240",972-482-9339,Vincent Ginatta,David Soskolne Projects Inc.,"17748 Agave Lane, Dallas, Texas 75252",972.740.3264,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020433
Cold Stone & Wetzel's Pretzels,TABS2025020432,IBP Retail,"3204 E. Hebron Parkway Suite 350, Carrollton, TX 75010",Denton,7/14/2025,11/24/2025,"$250,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Construction of First-generation ice cream & pretzel store in an existing shell building.,"1,524 ft 2","IBP Retail No. 8, LP","1722 Routh St, STE 770, Dallas, Texas 75201",(972) 820-2236,Tiru Chilka,Studio HMA,"1020 Taylor Dr, Allen, Texas 75013",(469) 463-4845,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020432
Ribbonwood Phase 1,TABS2025020342,Ribbonwood,"6204 FM 2931, Aubrey, TX 76227",Denton,3/3/2025,6/30/2025,"$120,000",New Construction,"This project is privately funded, on private land for private use.",Sidewalks and pedestrian ramps for the Ribbonwood Phase 1 development,"6,500 ft 2","Pulte Homes of Texas, L.P.","9111 Cypress Waters Blvd, Suite 100, Coppell, Texas 75034",(972) 304-2854,,Kimley-Horn,"6160 Warren Pkwy, Suite 210, Frisco, Texas 75034",(972) 731-3808,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020342
K9 Kind Resort,TABS2025020339,K9 Kind Resort,"17522 James C Jack Dr, Justin, TX 76247",Denton,6/16/2025,10/31/2025,"$564,929",New Construction,"This project involves public funds, public land, or is a Federally funded roadway project.",Dog Daycare and Boarding facility,"4,800 ft 2",Fouts Properties LLC,"17522 James C Jack Dr, Justin, Texas 76247",(940) 368-3294,,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020339
15949 -FTC12- Ratcliff,TABS2025020318,Frankford trade Center - FTC 12,"2941 Trade Center Drive, Ste 100, Carrollton, TX 75007",Denton,6/16/2025,10/16/2025,"$1,200,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",New Office Layout,"22,572 ft 2",Prologis,"2021 Mckinney Avenue, Dallas, Texas 75201",(214) 350-7669,,"Meinhardt & Associates Architects, P.L.L.C.","14643 Dallas Parkway, Dallas, Texas 75254",(972) 980-8980,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020318
suite 110,TABS2025020313,golden point industrial,"1-35 frontage rd. suite 110, Denton, TX 76201",Denton,6/30/2025,9/30/2025,"$280,000",New Construction,"This project is privately funded, on private land for private use.",new tenant office and warehouse lease space,"37,767 ft 2",High Street Logistics Properties,"5728 LBJ Freeway suite 225, Dallas, Texas 75240",(469) 884-0051,,meinhardt & associates,"14643 dallas parkway suite 636, Dallas, Texas 75254",(972) 980-8980,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020313
CLXV Denton - Spec Office 2 Building 1,TABS2025020283,Building 1,"2001 FM 1173, Denton, TX 76207",Denton,6/3/2025,6/3/2027,"$380,185",Renovation/Alteration,"This project is privately funded, on private land for private use.",THE SCOPE OF WORK INCLUDES AN EXISTING SPECULATIVE TENANT OFFICE BUILD-OUT TO A  PREVIOUSLY PERMITTED SHELL WAREHOUSE BUILDING AND ADDITIONAL OFFICES. ,"72,039 ft 2",CLX VENTURES,"300 CRESCENT COURT, DALLAS, Texas 75201",(214) 697-8947,,POWERS BROWN ARCHITECTURE,"2100 TRAVIS STREET, SUITE 501, HOUSTON, Texas 77002",832-856-5303,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020283
"O'Reilly Auto Parts #OAP0001 Krum, TX",TABS2025020265,O'Reilly Auto Parts,"McCart St and Masch Branch Rd, Krum, TX 76249",Denton,8/4/2025,1/5/2026,"$1,430,515",New Construction,"This project is privately funded, on private land for private use.","Ground Up Build - 7,228 SF","7,228 ft 2","O'Reilly Auto Enterprises, LLC","233 S Patterson Ave, Springfield, Missouri 65802",(417) 862-2674,,"Design Forum Architects, Inc","2056 Byer Road, Miamisburg, Ohio 45342",(937) 853-8247,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020265
Bodybar,TABS2025020252,Olivian at the Realm,"3964 SH 121 Suite 600, Lewisville, TX 75056",Denton,7/30/2025,10/8/2025,"$300,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Tenant Finish-out of 1st general space located in multi-story development; consisting of studio, restrooms & storage/utility room. No exterior work","2,208 ft 2","3964 SH 121, LLC","4400 State Hwy 121 Suite 900, Lewisville, Texas 75056",(972) 410-6546,Francie Nese,Apogee,"16775 Addison Road Suite 350, Addison, Texas 75001",469-960-2322,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020252
BENDT DISTILLERY,TABS2025020230,BENDT DISTILLERY,"225 S CHARLES, Lewisville, TX 75057",Denton,6/9/2025,8/29/2025,"$81,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",STORAGE ADDETION TO EXISTING BUILDING,982 ft 2,Bendt Distilling,"225 S. Charles, LEWISVILLE, Texas 75057",(214) 612-0547,,WILLIAM PECK  ASSOC INC,"105 W MAIN ST, LEWISVILLE, Texas 75057",(972) 221-1424,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020230
"Westgate Drive Reconstruction, Phase 1",TABS2025020220,Westgate Drive Phase 1,"Westgate Dr east of I-35, Denton, TX 76207",Denton,6/9/2025,6/9/2026,"$338,196",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.","Reconstruction of Westgate Drive (N&S) from Windsor Drive to Bronco Way and design permanent connectivity of Westgate Drive from Bronco Way to existing Westgate Drive (E&W). Pedestrian facilities square footage is 26,933 SF.","26,933 ft 2",City of Denton,"401 N. Elm Street, Denton, Texas 76201",(940) 349-7104,,Halff,"2601 Meacham Boulevard Suite 600, Fort Worth, Texas 76137",(817) 764-7446,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020220
