project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,tenant_name,design_name,design_address,design_phone,project_url
GMR Flight Simulator,TABS2025020720,GMR Training Facility,"2400 Westcourt Road, Denton, TX 76207",Denton,4/1/2024,8/1/2025,"$7,000,000",New Construction,"This project is privately funded, on private land for private use.",A training facility that includes a hangar. Office/training space has a second floor. New construction,"29,000 ft 2","THP Air, LLC","PO Box 908, Gillette, Wyoming 82717",(307) 680-5880,Marina Munoz,Kinetic Design & Development,"2101 W Chesterfield Blvd, Suite A101, Springfield, Missouri 65807",417-530-4321,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020720
Urban Air,TABS2025020698,Urban Air,"3615 E McKINNEY STREET, Denton, TX 76209",Denton,2/2/2026,6/1/2026,"$1,000,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior build-out of newly constructed shell building,"37,833 ft 2",Devendra Ray,"604 Celeste Lane, Burleson, Texas 76028",(817) 889-7755,,"Logic Design & Architecture, INC.","10400 W Innovation Dr, Milwaukee, Wisconsin 53226",(414) 909-0080,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020698
Body20,TABS2025020687,Shops at Quail Run,"165 Quail Run Rd, Rockwall, TX 75089",Denton,6/27/2025,10/27/2025,"$200,000",New Construction,"This project is privately funded, on private land for private use.","tenant fit out, 1st generation, scope incl . interior walls/doors/ceilings &, finishes, MEP/FP related to Body20 franchise","1,100 ft 2",Duwest Realty,"4403 N Central Expressway, Ste 110,, Dallas, Texas 75025",(214) 918-1804,Siri Solange,SMW Architects,"760 Pinehurst Rd, YORK, Pennsylvania 17402",(717) 368-1199,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020687
FLUFFY FLUFFY DESSERT CAFE,TABS2025020677,FLUFFY FLUFFY DESSERT CAFE,"2700 OLD DENTON RD SUITE 112, Carrollton, TX 75007",Denton,7/1/2023,8/19/2024,"$300,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",TENANT FINISH OUT,"1,700 ft 2",11132016 PROPERTIES LLC,"1000 PEACOCK BLVD, CARROLLTON, Texas 75007",(817) 703-1173,JEFFORIES NGUYEN,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020677
Lewisville Pickleball Club,TABS2025020676,Lewisville Pickleball Club,"608 Edmonds Lane, Lewisville, TX 75067",Denton,8/15/2025,4/15/2026,"$2,100,000",New Construction,"This project is privately funded, on private land for private use.",New ground-up construction of a one-story pre-engineered metal building.,"15,779 ft 2",Jinting Chen,"3120 Golden Springs Drive, Plano, Texas 75025",(972) 302-7625,,Melchiors Architecture LLC,"1201 Evans Avenue Suite 300, Fort Worth, Texas 76104",(817) 653-3007,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020676
Suite 120 Speculative Office,TABS2025020672,Golden Point,"I-35 frontage rd. Suite 120, Denton, TX 76201",Denton,6/30/2025,9/30/2025,"$278,000",New Construction,"This project is privately funded, on private land for private use.",new TI speculative office and lease space,"1,592 ft 2",High Street Logistics Properties,"5728 LBJ Freeway Suite 225, Dallas, Texas 75240",(469) 884-0051,,Meinhardt & Associates Architects P.L.L.C.,"14643 Dallas Parkway Suite 636, Dallas, Texas 75254",(972) 980-8980,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020672
Suite 115 Speculative Office,TABS2025020670,Golden Point,"1-35 frontage rd. Suite 115, Denton, TX 76201",Denton,6/30/2025,9/30/2025,"$350,000",New Construction,"This project is privately funded, on private land for private use.",new TI speculative office and lease space,"2,002 ft 2",High Street Logistics Properties,"5728 LBJ Freeway Suite 225, Dallas, Texas 75240",469-884-0051,,Meinhardt & Associates Architects P.L.L.C.,"14643 Dallas Parkway Suite 636, Dallas, Texas 75254",(972) 980-8980,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020670
FedEx N Ft Worth TX - Express Retrofit,TABS2025020661,FedEx Ground - North Fort Worth,"2701 Texas Longhorn Way, Fort Worth, TX 76177",Denton,8/18/2025,10/27/2025,"$1,960,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",MODIFICATION OF EXISTING FEDEX INTERNAL CONVEYOR SYSTEM. MECHANICAL INSTALLATION OF CONVEYOR EQUIPMENT CONSISTING OF 13 CONVEYORS AND A CASTER DECK INTENDED FOR FEDEX'S PARCEL DISTRIBUTION SYSTEM CAPACITY EXPANSION.,"11,880 ft 2",MREIC FORT WORTH TX LLC,"255 WASHINGTON ST STE 270, NEWTON, Massachusetts 02458",737-233-0032,Daniel Denoncour,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020661
HighPointe Ranch Amenity Center,TABS2025020654,HighPointe Ranch Development - Amenity Center,"2472 Fetlock Lane, Aubrey, TX 76227",Denton,7/1/2025,5/31/2026,"$2,500,000",New Construction,"This project is privately funded, on private land for private use.","Scope of work includes a single family amenity center with a pool, playground, shade structures, concrete sidewalks, fencing, fishing dock, walls, and lighting. ","250,000 ft 2",Lennar Homes of Texas Land and Construction,"1231 Greenway Drive, Irving, Texas 75038",(903) 821-2188,,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020654
Spanish Schoolhouse PV - 1625 Main,TABS2025020574,SSH Providence Village,"1625 Main Street, Providence Village, TX 76227",Denton,10/1/2025,9/1/2026,"$2,200,000",New Construction,"This project is privately funded, on private land for private use.",Ground up child care facility,"7,500 ft 2","BBD Providence Village Partners, LLC","5801 Tennyson Pkwy Suite 150, Plano, Texas 75024",(214) 296-4989,,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020574
