project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,tenant_name,design_name,design_address,design_phone,project_url
MAYA CREAMERY,TABS2025014303,MAYA CREAMERY,"100 PLAZA PLACE #STE. 500, Northlake, TX 76226",Denton,7/1/2025,12/31/2025,"$150,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",NEW CONSTRUCTION ,"2,073 ft 2",SYOJA LLC,"617 BLUE HORIZON WAY, ARGYLE, Texas 76226",(704) 491-3906,SRINAYANA PONNEKANTI,BEAR DESIGN BUILD,"2965 VILLA CREEK DR #STE. 110, DALLAS, Texas 75234",(469) 682-7038,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025014303
Union Park Senior Living,TABS2025014295,Union Park Senior Living,"1851 Navo Road, Aubrey, TX 76227",Denton,5/5/2025,5/10/2027,"$500,000",New Construction,"This project is privately funded, on private land for private use.",Senior Living Apartments for Rent,"6,000 ft 2",Cross Development,"4317 Marsh Ridge Rd., Carrollton, Texas 75010",(512) 983-0422,,Cross Architects,"879 Junction Drive, Allen, Texas 75013",(469) 393-1153,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025014295
GEN Korean BBQ,TABS2025014274,GEN Korean BBQ,"I-35 & Hwy 380, Denton, TX 76201",Denton,7/1/2025,12/1/2025,"$800,000",New Construction,"This project is privately funded, on private land for private use.",Interior finish-out of a first generation space to accommodate a GEN Korean BBQ restaurant.  ,"4,715 ft 2","Rayzor Ranch Town Center Associates, LLC","4500 Bissonnet St. Suite 300, Bellaire, Texas 77401",(469) 289-4304,,The Dimension Group,"10755 Sandhill Road, Dallas, Texas 75238",(214) 343-9400,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025014274
Jab & Jacs,TABS2025014254,Jab & Jacs,"115 N Oak st., Roanoke, TX 76262",Denton,3/17/2025,5/30/2025,"$80,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Interior remodel/construction to build the existing vacant space into a speakeasy bar/restaurant. Includes installing new MEP to service the appliances, Building restrooms and kitchen, new bar for the cafe area and the bar/restaurant area. ","2,788 ft 2",Jab & Jacs LLC.,"6613 Providence Rd., Colleyville, Texas 76034",(510) 604-5441,,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025014254
Medical Office Shell Building No. 2,TABS2025014100,Medical Office Shell Building No. 2,"Adj to E Eldorado Parkway, Little Elm, TX 75068",Denton,8/1/2025,8/30/2026,"$900,000",New Construction,"This project is privately funded, on private land for private use.",Construction of single-story shell building for future medical office tenants.,"5,860 ft 2",Virya Real Estate,"8725 Havaut Lane, Plano, Texas 75024",(225) 810-1840,,Rashmi C Incorporated,"4117 Old Pleasant Ridge Road, Arlington, Texas 76016",(817) 891-7918,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025014100
Retail/Restaurant Shell Building No. 1,TABS2025014099,Retail/Restaurant Shell Building No. 1,"Adj. to E Eldorado Parkway, Little Elm, TX 75068",Denton,8/1/2025,8/30/2026,"$1,600,000",New Construction,"This project is privately funded, on private land for private use.",Construction of single-story shell retail/restaurant building.,"11,602 ft 2",Virya Real Estate,"8725 Havaut Lane, Plano, Texas 75024",(225) 810-1840,,Rashmi C Incorporated,"4117 Old Pleasant Ridge Road, Arlington, Texas 76016",(817) 891-7918,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025014099
"Tesla - Lewisville, TX",TABS2025014040,Tesla,"727 Hebron Parkway, Lewisville, TX 75057",Denton,4/7/2025,4/30/2026,"$180,000",New Construction,"This project is privately funded, on private land for private use.",electrical infrastructure,140 ft 2,"Tesla, Inc.","3500 Deer Creek Road, Palo Alto, Texas 94304",(504) 812-7053,,GPD Group Professional Corporation,"520 South Main Street, Suite 2531, Akron, Ohio 44311",(330) 572-2100,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025014040
25-007 SWI Expansion,TABS2025014013,Southwestern Interiors,"2525 East State Hwy 121 Ste 100, Lewisville, TX 75067",Denton,4/30/2025,12/31/2025,"$638,088",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior renovations of an Office Warhouse,"18,872 ft 2",Stockbridge,"4 Embarcadro Center Ste 3300, San Francisco, California 94111",(415) 658-3300,Randy Klein,Randy Klein,"2525 East State Hwy 121 Ste 100, Lewisville, Texas 75067",(469) 236-8678,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025014013
Argyle Golf,TABS2025013990,151 Fm 407,"151 FM 407, Argyle, TX 76226",Denton,4/4/2025,9/8/2029,"$195,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Renovation of an existing space for a new business,"6,018 ft 2",CDI Evans LLC,"415 Hwy 377 south, Suite 110, Argyle, Texas 76226",(940) 218-6680,,Bates Martin Architects,"2220 San Jacinto Blvd.  #330, Denton, Texas 76205",(940) 387-4881,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025013990
HEB Robson Ranch Store,TABS2025013956,HEB Robson Ranch Store,"Robson Ranch Road & Interstate Highway 35W, Denton, TX 76207",Denton,4/21/2025,6/10/2026,"$60,518,554",New Construction,"This project is privately funded, on private land for private use.",New store,"133,975 ft 2",HEB,"646 S Flores Street, San Antonio, Texas 78204",(830) 931-1315,,Selser Schaefer Architects dba Narrate,"2 W. 6th Street Suite 100, Tulsa, Oklahoma 74119",(918) 587-2282,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025013956
