project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,tenant_name,design_name,design_address,design_phone,project_url
Covenant Forney,TABS2026012552,Fox Hollow Retail,"1110 S FM 741, Forney, TX 75126",Kaufman,6/1/2026,12/1/2026,"$426,020",New Construction,"This project is privately funded, on private land for private use.",5012 SF shell building designed for future dental office fit out,"5,012 ft 2",Melaku Partners LTD,"4020 Maple Ave, Ste. 475, Dallas, Texas 75219",(214) 532-1976,Julie Margitich,Element Architects,"1250 Wood Branch Park Dr, #480, Houston, Texas 77079",(713) 874-0775,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026012552
James Avery - Q 155 Forney,TABS2026012511,Village at Gateway,"11620 E. US Highway 80 Suite 130, Forney, TX 75125",Kaufman,3/9/2026,6/19/2026,"$675,000",New Construction,"This project is privately funded, on private land for private use.",interior finish out,"3,000 ft 2","Village at Gateway Partners, LP","5950 Berkshire Lane Suite 700, Dallas, Texas 75225",(214) 545-6900,Robert Schultz,Paddle Creek Design,"515 20th Street, HONDO, Texas 78861",(830) 377-1197,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026012511
Kemp ISD Ag Shop,TABS2026012230,Kemp ISD Ag shop,"220 Tx 274, Kemp, TX 75143",Kaufman,3/15/2026,8/15/2026,"$3,000,000",New Construction,"This project involves public funds, public land, or is a Federally funded roadway project.",New Construction Ag Shop,"15,000 ft 2",Kemp ISD,"220 Hwy 274, Kemp, Texas 75143",(936) 554-8395,,Scales Engineering LLC,"1124 Cliffview Road, Waco, Texas 76710",(254) 498-6431,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026012230
