project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,tenant_name,design_name,design_address,design_phone,project_url
Inframark LLC Tenant Finish-out Phase 2,TABS2025004638,Helms Trail Industrial Park,"9558 Helms Trail Suite 200, Forney, TX 75126",Kaufman,12/9/2024,6/9/2025,"$259,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Expansion of tenant lease space in existing pre-engineered metal building warehouse facility.,"2,500 ft 2","Helms Trail Properties, Inc. C/O The Ware Holdings","4143 Maple Ave. Suite 120, Dallas, Texas 75219",(469) 335-4190,Michael Gonzales,Broadstone Design Group,"P.O. Box 2637, Forney, Texas 75126",(214) 295-5280,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025004638
New Ag Facility Kemp ISD,TABS2025004292,Kemp ISD Ag Facility,"220 State Hwy 274, Kemp, TX 75143",Kaufman,12/1/2024,5/30/2025,"$1,200,000",New Construction,"This project involves public funds, public land, or is a Federally funded roadway project.","A new 14,880sf Pre-Engineered metal building for the housing and care  of the school district's livestock and agricultural programs.","14,880 ft 2",Kemp ISD,"905 s Main St, Kemp, Texas 75143",(903) 498-1400,,"Harris Craig Architects, Inc.","1530 E Grande Blvd, Tyler, Texas 75703",(903) 534-0995,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025004292
