project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,tenant_name,design_name,design_address,design_phone,project_url
Aisin Relocation 2024,TABS2025005723,Parkway Centre V,"2500 Dallas Parkway Suite 300, Plano, TX 75295",Collin,11/25/2024,2/24/2025,"$220,946",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior finish out,"5,279 ft 2",Northway Properties,"2500 Dallas Parkway Suite 550, Plano, Texas 75093",(469) 241-0303,Junko Hayashi,Go Studio,"1201 Main Street Suite 1370, Dallas, Texas 75202",(214) 420-4646,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025005723
Preston Groves Phase 1 Bldg.3,TABS2025005722,Building 3,"Frisco, Frisco, TX 75035",Collin,12/1/2024,1/5/2026,"$10,072,706",New Construction,"This project is privately funded, on private land for private use.","New concrete tilt wall shell building. 92,161 sf","92,161 ft 2",FC Industrial Land LP,"3819 Maple Avenue, Dallas, Texas 75219",(214) 661-8341,,Azimuth Architecture,"10228 E Northwest Hwy, Box #66, Dallas, Texas 75238",(214) 261-9060,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025005722
Preston Groves Phase 1 Bldg. 2,TABS2025005720,Building 2,"Frisco, Frisco, TX 75035",Collin,12/1/2024,1/5/2026,"$8,265,980",New Construction,"This project is privately funded, on private land for private use.","New tilt wall shell building.  73,219 sf","73,598 ft 2",FC Industrial Land LP,"3819 Maple Avenue, Dallas, Texas 75219",(214) 661-8341,,Azimuth Architecture,"10228 E Northwest Hwy, Box #66, Dallas, Texas 75238",(214) 261-9060,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025005720
Preston Groves Phase I Bldg 1,TABS2025005717,Building 1,"Frisco, Frisco, TX 75035",Collin,12/1/2024,1/5/2026,"$10,997,818",New Construction,"This project is privately funded, on private land for private use.",New tilt wall shell building.  100988 sf,"100,998 ft 2",FC Industrial Land LP,"3819 Maple Avenue, Dallas, Texas 75219",(214) 661-8341,,Azimuth Architecture,"10228 E Northwest Hwy, Box #66, Dallas, Texas 75238",(214) 261-9060,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025005717
Frisco Square IV,TABS2025005710,Frisco Square IV,"SEC Page St. and Burlington St., Frisco, TX 75034",Collin,7/15/2024,12/15/2024,"$30,000,000",New Construction,"This project is privately funded, on private land for private use.",Four-story multifamily building.,"152,231 ft 2",TBAL,"1140 Virginia Drive, Fort Washington, Pennsylvania 19034",(215) 938-8230,,HEDK,"4595 Excel Parkway, Addison, Texas 75001",(214) 520-8878,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025005710
Talbert Company Renovation,TABS2025005696,Hall Park II,"2801 Network Blvd., Ste.375, Frisco, TX 75034",Collin,12/2/2024,5/16/2025,"$283,392",Renovation/Alteration,"This project is privately funded, on private land for private use.","Interior renovation and new finishes of 4,428 sft","4,428 ft 2",Hall Group,"3000 Internet Blvd, Ste 100, Frisco, Texas 75034",(214) 470-4266,Charles Talbert,Vaughan Myers Design Inc,"1112 Cool River, Southlake, Texas 76092",(214) 460-6485,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025005696
Public Corridor First Floor,TABS2025005695,Richardson Medical Center,"3001 E. President George Bush, Richardson, TX 75082",Collin,12/16/2024,2/3/2025,"$211,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","A 1,585 useable sq. footage new building public corridor on first floor within Richardson Medical Center. ","1,585 ft 2",Pavilion Properties,"1411 N. Beckley Ave. Suite 156, Dallas, Texas 75203",(214) 947-3701,,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025005695
UL Plano Chamber Addition,TABS2025005693,Plano Parkway / 190 Buesiness Center,"1700 Summit Avenue, Suite 400, Plano, TX 75074",Collin,1/2/2025,3/31/2025,"$150,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","RENOVATION OF A PORTION OF THE INTERIOR SPACE TO INSTALL AN INSULATED SLAB FOR ONWER PROVIDED EQUIPMENT CHAMBER. NO CHANGE OF OCCUPANCY, NO RENOVATION TO THE EXISTING OFFICE. WORK CONSISTS OF NEW SLAB AND INFRASTRUCTURE TO SUPPORT CHAMBER.","5,600 ft 2",Stream Realty,"2001 Ross Avenue Suite 400, Dallas, Texas 75201",(214) 267-0412,Terrence Farrell,Precision Architecture Pllc,"6867 Cherry Bayou Drive, Baytown, Texas 77523",(281) 460-9364,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025005693
Tee Time Bar,TABS2025005688,Tee Time Bar and restaurant,"1301 Custer rd, suite 482, Plano, TX 75075",Collin,11/29/2024,3/31/2025,"$350,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Finish out,"8,100 ft 2",Elite Club Texas LLC,"1301 Custer Road, Suite 482, Plano, Texas 75075",(817) 360-7567,,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025005688
Community National Bank,TABS2025005684,Briargrove Plaza,"17855 N Dallas Pkwy Suite 195, Dallas, TX 75287",Collin,12/2/2024,1/31/2025,"$140,440",Renovation/Alteration,"This project is privately funded, on private land for private use.",Renovation to existing interior office space.,"4,788 ft 2","Briargrove Plaza, LLC","2805 N Dallas Parkway Suite 620, Plano, Texas 75093",(972) 713-4020,Jay Sudderth,Interprise Design,"14241 Dallas Parkway Suite 260, Dallas, Texas 75254",(972) 385-3991,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025005684
